,False,True
2020-12-08,0,0
2020-12-09,14,7
2020-12-10,28,21
2020-12-11,35,35
2020-12-12,42,35
2020-12-13,49,42
2020-12-14,63,56
2020-12-15,112,119
2020-12-16,175,210
2020-12-17,322,511
2020-12-18,490,763
2020-12-19,672,1071
2020-12-20,798,1288
2020-12-21,966,1554
2020-12-22,1106,1785
2020-12-23,1253,1995
2020-12-24,1309,2128
2020-12-25,1309,2128
2020-12-26,1309,2128
2020-12-27,1309,2135
2020-12-28,1330,2149
2020-12-29,1407,2296
2020-12-30,1848,3283
2020-12-31,2429,4235
2021-01-01,2590,4501
2021-01-02,2835,4879
2021-01-03,2863,4914
2021-01-04,2884,4949
2021-01-05,2975,5075
2021-01-06,3752,6258
2021-01-07,6979,11375
2021-01-08,10857,17738
2021-01-09,13601,22134
2021-01-10,14889,24213
2021-01-11,15806,25508
2021-01-12,17612,28210
2021-01-13,22183,35021
2021-01-14,26831,41860
2021-01-15,32627,50414
2021-01-16,36694,56168
2021-01-17,38724,59346
2021-01-18,40180,61600
2021-01-19,50022,76153
2021-01-20,61425,92869
2021-01-21,66822,100660
2021-01-22,75264,113092
2021-01-23,84112,125531
2021-01-24,87192,129766
2021-01-25,87570,130298
2021-01-26,88116,131145
2021-01-27,89586,133413
2021-01-28,97797,145257
2021-01-29,114926,168756
2021-01-30,129731,188370
2021-01-31,139237,201131
2021-02-01,143430,206752
2021-02-02,146671,211302
2021-02-03,150766,216461
2021-02-04,153447,219982
2021-02-05,154105,220794
2021-02-06,154175,220906
2021-02-07,154217,220983
2021-02-08,154399,221242
2021-02-09,154826,221921
2021-02-10,155267,222593
2021-02-11,155974,223524
2021-02-12,156478,224189
2021-02-13,156737,224546
2021-02-14,156800,224644
2021-02-15,156821,224686
2021-02-16,156982,224889
2021-02-17,157206,225176
2021-02-18,157339,225414
2021-02-19,157430,225547
2021-02-20,157479,225617
2021-02-21,157493,225631
2021-02-22,157507,225652
2021-02-23,157584,225764
2021-02-24,157703,225981
2021-02-25,157857,226184
2021-02-26,158004,226408
2021-02-27,158088,226541
2021-02-28,158102,226569
2021-03-01,158102,226583
2021-03-02,158109,226590
2021-03-03,158123,226604
2021-03-04,158130,226611
2021-03-05,158130,226625
2021-03-06,158137,226632
2021-03-07,158137,226632
2021-03-08,158137,226639
2021-03-09,158144,226639
2021-03-10,158165,226667
2021-03-11,158207,226709
2021-03-12,158207,226716
2021-03-13,158207,226723
2021-03-14,158207,226723
2021-03-15,158214,226723
2021-03-16,158214,226730
2021-03-17,158221,226730
total,357686,508473
