,F,M
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,28,21
2020-12-09,105,63
2020-12-10,182,91
2020-12-11,259,133
2020-12-12,329,161
2020-12-13,378,189
2020-12-14,448,231
2020-12-15,588,294
2020-12-16,735,378
2020-12-17,938,462
2020-12-18,1169,560
2020-12-19,1386,651
2020-12-20,1610,770
2020-12-21,1911,882
2020-12-22,2170,1022
2020-12-23,2492,1211
2020-12-24,2639,1309
2020-12-25,2639,1309
2020-12-26,2646,1316
2020-12-27,2688,1330
2020-12-28,2765,1365
2020-12-29,2996,1463
2020-12-30,3549,1708
2020-12-31,4102,1967
2021-01-01,4228,2016
2021-01-02,4361,2065
2021-01-03,4459,2100
2021-01-04,4662,2177
2021-01-05,5054,2310
2021-01-06,5649,2548
2021-01-07,6552,3010
2021-01-08,7581,3521
2021-01-09,8540,3983
2021-01-10,9044,4193
2021-01-11,9618,4473
2021-01-12,10423,4858
2021-01-13,11466,5341
2021-01-14,12670,5957
2021-01-15,14049,6699
2021-01-16,15267,7315
2021-01-17,16037,7693
2021-01-18,16856,8134
2021-01-19,18039,8778
2021-01-20,19439,9611
2021-01-21,21028,10661
2021-01-22,23226,12222
2021-01-23,25137,13559
2021-01-24,26250,14343
2021-01-25,27342,15092
2021-01-26,28686,16044
2021-01-27,30261,17192
2021-01-28,32431,18760
2021-01-29,35014,20727
2021-01-30,37065,22351
2021-01-31,39158,24024
2021-02-01,42266,26628
2021-02-02,45458,29393
2021-02-03,49756,33187
2021-02-04,55167,38052
2021-02-05,61124,43470
2021-02-06,69762,51233
2021-02-07,74543,55797
2021-02-08,80654,61558
2021-02-09,94612,75005
2021-02-10,117173,96831
2021-02-11,149576,128198
2021-02-12,187215,163982
2021-02-13,230972,204904
2021-02-14,249865,223020
2021-02-15,270508,242669
2021-02-16,297353,269178
2021-02-17,327061,299152
2021-02-18,350441,322210
2021-02-19,368382,340326
2021-02-20,383943,355936
2021-02-21,389928,361844
2021-02-22,398055,370419
2021-02-23,407533,379946
2021-02-24,420434,392371
2021-02-25,432432,403879
2021-02-26,444199,415254
2021-02-27,452291,423087
2021-02-28,456533,427294
2021-03-01,459172,429926
2021-03-02,462021,432670
2021-03-03,465416,435855
2021-03-04,470239,440398
2021-03-05,475146,445116
2021-03-06,479535,449316
2021-03-07,480578,450345
2021-03-08,482293,452011
2021-03-09,483861,453614
2021-03-10,485303,455126
2021-03-11,486668,456512
2021-03-12,488782,458682
2021-03-13,491484,461419
2021-03-14,492835,462784
2021-03-15,494529,464562
2021-03-16,495943,466039
2021-03-17,496972,467187
total,548044,525035
