,False,True
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,28,0
2020-12-11,35,0
2020-12-12,42,0
2020-12-13,49,0
2020-12-14,56,0
2020-12-15,133,0
2020-12-16,287,0
2020-12-17,434,7
2020-12-18,595,7
2020-12-19,693,7
2020-12-20,777,7
2020-12-21,868,14
2020-12-22,987,14
2020-12-23,1421,28
2020-12-24,1932,35
2020-12-25,1932,35
2020-12-26,1932,35
2020-12-27,1932,35
2020-12-28,1932,35
2020-12-29,2779,63
2020-12-30,7273,266
2020-12-31,10710,434
2021-01-01,11200,490
2021-01-02,11424,525
2021-01-03,11515,532
2021-01-04,11676,546
2021-01-05,12250,595
2021-01-06,13447,672
2021-01-07,17157,805
2021-01-08,22218,1092
2021-01-09,25641,1225
2021-01-10,26523,1260
2021-01-11,29771,1407
2021-01-12,34685,1694
2021-01-13,39284,2100
2021-01-14,44688,2520
2021-01-15,51912,3143
2021-01-16,56553,3451
2021-01-17,58338,3584
2021-01-18,61992,3955
2021-01-19,65380,4396
2021-01-20,68327,4872
2021-01-21,72765,5397
2021-01-22,80353,6405
2021-01-23,82516,6986
2021-01-24,83314,7168
2021-01-25,83874,7336
2021-01-26,84616,7637
2021-01-27,85204,8036
2021-01-28,85904,8351
2021-01-29,86730,8638
2021-01-30,87045,8792
2021-01-31,87157,8869
2021-02-01,87563,8988
2021-02-02,87927,9261
2021-02-03,88536,9527
2021-02-04,89180,9891
2021-02-05,89866,10227
2021-02-06,90195,10458
2021-02-07,90321,10542
2021-02-08,90657,10773
2021-02-09,91168,11074
2021-02-10,91896,11536
2021-02-11,92778,12012
2021-02-12,93695,12488
2021-02-13,94045,12705
2021-02-14,94115,12768
2021-02-15,94584,12971
2021-02-16,95011,13174
2021-02-17,95431,13447
2021-02-18,95879,13727
2021-02-19,96362,13972
2021-02-20,96516,14147
2021-02-21,96558,14196
2021-02-22,96670,14294
2021-02-23,96978,14455
2021-02-24,97335,14798
2021-02-25,97643,15148
2021-02-26,97944,15470
2021-02-27,98070,15687
2021-02-28,98126,15757
2021-03-01,98287,15883
2021-03-02,98497,16051
2021-03-03,98672,16310
2021-03-04,98931,16604
2021-03-05,99218,16933
2021-03-06,99351,17122
2021-03-07,99386,17157
2021-03-08,99512,17234
2021-03-09,99666,17332
2021-03-10,99848,17458
2021-03-11,99988,17542
2021-03-12,100205,17661
2021-03-13,100303,17766
2021-03-14,100338,17815
2021-03-15,100408,17885
2021-03-16,100597,17997
2021-03-17,100723,18088
total,110180,20951
