,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,7,42,77,98,154,140
2020-12-09,35,280,322,413,462,476
2020-12-10,70,525,637,784,945,959
2020-12-11,98,763,896,1134,1407,1442
2020-12-12,105,924,1078,1428,1764,1736
2020-12-13,119,1050,1239,1701,2065,2030
2020-12-14,147,1232,1540,2128,2548,2534
2020-12-15,539,3808,4837,6895,7686,7588
2020-12-16,1113,7630,10430,14742,16254,16310
2020-12-17,1687,11431,15631,21945,23618,23639
2020-12-18,2121,14273,19124,26481,28168,28077
2020-12-19,2863,18144,23576,31703,33593,33355
2020-12-20,3367,20909,27510,36407,38353,38563
2020-12-21,3570,22337,29337,38829,41902,42189
2020-12-22,4018,25760,32879,43596,47880,48258
2020-12-23,4438,27895,35371,47229,52045,52640
2020-12-24,4529,28399,35826,48055,52941,53662
2020-12-25,4529,28399,35826,48055,52941,53662
2020-12-26,4529,28399,35826,48055,52941,53662
2020-12-27,4529,28420,35854,48083,52969,53739
2020-12-28,4536,28483,35938,48181,53053,53886
2020-12-29,4725,29358,37534,49791,54852,55720
2020-12-30,5229,31262,41139,53585,59591,60655
2020-12-31,5621,32564,43386,56322,63056,64309
2021-01-01,5817,32704,43687,56868,63728,65016
2021-01-02,5880,32942,44016,57316,64204,65814
2021-01-03,5894,33054,44156,57582,64512,66486
2021-01-04,5901,33271,44401,57834,64757,66906
2021-01-05,5936,33642,44863,58541,65408,67739
2021-01-06,6048,34552,46137,60158,67158,69524
2021-01-07,6531,38591,51786,67375,75187,78050
2021-01-08,7245,43288,58086,75789,85057,87549
2021-01-09,7966,47628,63182,83013,92771,95935
2021-01-10,8456,49203,65506,86352,96117,100310
2021-01-11,8505,49756,66346,87619,97496,102669
2021-01-12,8673,51681,68971,91126,102249,108794
2021-01-13,9128,55636,74459,98700,109669,116599
2021-01-14,9506,58772,79569,105840,117250,124495
2021-01-15,10290,63490,86191,115185,126777,134449
2021-01-16,11354,69139,94073,126630,138418,146321
2021-01-17,11676,71435,97433,131607,143661,151928
2021-01-18,11823,72478,98378,133392,145593,153713
2021-01-19,12264,75642,103530,141113,153972,162218
2021-01-20,12579,79359,109326,149569,162771,171703
2021-01-21,12803,81235,112147,154196,167279,175882
2021-01-22,12978,83321,115857,159558,172277,180530
2021-01-23,13167,84749,118489,164052,176162,183855
2021-01-24,13202,85141,119161,165515,177212,184772
2021-01-25,13209,85197,119238,165578,177268,184849
2021-01-26,13209,85260,119322,165676,177324,184905
2021-01-27,13216,85372,119525,165935,177604,185059
2021-01-28,13251,85841,120267,167125,178983,186081
2021-01-29,13482,86541,121296,168819,180313,187341
2021-01-30,13636,87094,122353,169995,181244,188307
2021-01-31,13713,87325,122857,170611,181748,188783
2021-02-01,13727,87465,123109,170919,182021,188993
2021-02-02,13734,87570,123249,171122,182203,189189
2021-02-03,13762,87752,123480,171353,182434,189371
2021-02-04,13783,87920,123648,171563,182609,189490
2021-02-05,13790,87969,123718,171626,182658,189525
2021-02-06,13790,87976,123732,171633,182665,189539
2021-02-07,13790,87983,123739,171640,182679,189539
2021-02-08,13790,88004,123760,171661,182686,189553
2021-02-09,13797,88081,123802,171710,182735,189602
2021-02-10,13797,88172,123872,171759,182798,189644
2021-02-11,13811,88277,123942,171843,182875,189721
2021-02-12,13818,88354,124019,171934,182959,189798
2021-02-13,13832,88424,124068,171983,182994,189826
2021-02-14,13832,88438,124082,171997,183008,189833
2021-02-15,13832,88438,124096,172011,183015,189833
2021-02-16,13832,88508,124124,172046,183043,189861
2021-02-17,13839,88578,124173,172095,183078,189896
2021-02-18,13839,88620,124222,172123,183113,189931
2021-02-19,13846,88655,124250,172165,183127,189945
2021-02-20,13853,88683,124278,172179,183141,189966
2021-02-21,13853,88683,124285,172193,183141,189973
2021-02-22,13853,88697,124292,172193,183148,189973
2021-02-23,13853,88725,124320,172228,183176,189994
2021-02-24,13860,88788,124376,172291,183225,190022
2021-02-25,13860,88844,124425,172340,183281,190050
2021-02-26,13867,88900,124474,172417,183323,190099
2021-02-27,13874,88942,124502,172459,183358,190127
2021-02-28,13874,88956,124516,172466,183365,190134
2021-03-01,13874,88956,124516,172466,183372,190134
2021-03-02,13874,88963,124523,172473,183379,190148
2021-03-03,13874,88970,124523,172515,183407,190197
2021-03-04,13874,88977,124537,172522,183407,190204
2021-03-05,13874,88977,124544,172522,183421,190211
2021-03-06,13874,88977,124544,172529,183421,190218
2021-03-07,13874,88977,124551,172529,183428,190225
2021-03-08,13874,88977,124551,172529,183428,190225
2021-03-09,13874,88984,124579,172599,183505,190323
2021-03-10,13881,88984,124600,172648,183554,190379
2021-03-11,13881,88991,124607,172662,183568,190393
2021-03-12,13881,88991,124621,172676,183582,190414
2021-03-13,13881,88991,124621,172676,183582,190414
2021-03-14,13881,88991,124621,172676,183582,190414
2021-03-15,13881,88998,124621,172676,183582,190414
2021-03-16,13881,88998,124635,172683,183589,190435
2021-03-17,13888,89012,124642,172697,183596,190442
total,19691,144578,187159,249291,257733,258958
