,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,0,0
2021-01-03,7,7
2021-01-04,14,14
2021-01-05,14,14
2021-01-06,21,21
2021-01-07,35,49
2021-01-08,119,259
2021-01-09,273,539
2021-01-10,434,777
2021-01-11,567,1092
2021-01-12,994,1820
2021-01-13,1911,3332
2021-01-14,3143,5418
2021-01-15,4494,7504
2021-01-16,6328,10150
2021-01-17,6496,10430
2021-01-18,7273,11669
2021-01-19,8610,13734
2021-01-20,11375,17647
2021-01-21,21735,32977
2021-01-22,36932,55335
2021-01-23,57316,85456
2021-01-24,64344,95683
2021-01-25,71911,106729
2021-01-26,82348,122178
2021-01-27,91532,135429
2021-01-28,101710,149821
2021-01-29,114548,167496
2021-01-30,127750,185430
2021-01-31,132384,191583
2021-02-01,138537,200396
2021-02-02,143759,207956
2021-02-03,147371,213465
2021-02-04,151487,219590
2021-02-05,156254,226569
2021-02-06,161399,233660
2021-02-07,163569,236663
2021-02-08,165522,239617
2021-02-09,167531,242718
2021-02-10,168882,245259
2021-02-11,170065,247527
2021-02-12,171297,249592
2021-02-13,172494,251405
2021-02-14,172914,252035
2021-02-15,173306,252819
2021-02-16,173628,253442
2021-02-17,173894,254023
2021-02-18,174125,254569
2021-02-19,174356,255038
2021-02-20,174594,255458
2021-02-21,174678,255577
2021-02-22,174790,255822
2021-02-23,174937,256130
2021-02-24,175091,256487
2021-02-25,175280,256935
2021-02-26,175448,257285
2021-02-27,175567,257537
2021-02-28,175623,257628
2021-03-01,175714,257803
2021-03-02,175819,258055
2021-03-03,175945,258293
2021-03-04,176141,258685
2021-03-05,176379,259154
2021-03-06,176554,259448
2021-03-07,176603,259518
2021-03-08,176680,259700
2021-03-09,176764,259896
2021-03-10,176834,260078
2021-03-11,176925,260253
2021-03-12,177044,260498
2021-03-13,177184,260715
2021-03-14,177226,260799
2021-03-15,177289,260904
2021-03-16,177359,261037
2021-03-17,177422,261163
total,357686,508473
