,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,14,7
2020-12-10,28,21
2020-12-11,35,35
2020-12-12,42,35
2020-12-13,49,42
2020-12-14,70,56
2020-12-15,112,119
2020-12-16,175,217
2020-12-17,322,511
2020-12-18,490,763
2020-12-19,672,1071
2020-12-20,798,1288
2020-12-21,966,1554
2020-12-22,1113,1785
2020-12-23,1253,1995
2020-12-24,1309,2128
2020-12-25,1309,2128
2020-12-26,1309,2128
2020-12-27,1309,2135
2020-12-28,1330,2156
2020-12-29,1414,2296
2020-12-30,1848,3283
2020-12-31,2429,4235
2021-01-01,2597,4501
2021-01-02,2835,4886
2021-01-03,2870,4921
2021-01-04,2898,4970
2021-01-05,2989,5096
2021-01-06,3773,6286
2021-01-07,7014,11431
2021-01-08,10976,17990
2021-01-09,13874,22659
2021-01-10,15323,24976
2021-01-11,16366,26579
2021-01-12,18606,30009
2021-01-13,24087,38332
2021-01-14,29967,47250
2021-01-15,37114,57890
2021-01-16,43008,66290
2021-01-17,45213,69741
2021-01-18,47446,73241
2021-01-19,58625,89852
2021-01-20,72786,110467
2021-01-21,88543,133595
2021-01-22,112175,168371
2021-01-23,141365,210875
2021-01-24,151473,225337
2021-01-25,159418,236908
2021-01-26,170401,253211
2021-01-27,181055,268730
2021-01-28,199430,294959
2021-01-29,229390,336119
2021-01-30,257397,373667
2021-01-31,271537,392574
2021-02-01,281883,407001
2021-02-02,290332,419104
2021-02-03,298046,429772
2021-02-04,304836,439418
2021-02-05,310254,447202
2021-02-06,315476,454398
2021-02-07,317681,457478
2021-02-08,319809,460691
2021-02-09,322245,464471
2021-02-10,324037,467670
2021-02-11,325927,470862
2021-02-12,327663,473585
2021-02-13,329119,475762
2021-02-14,329602,476490
2021-02-15,330015,477309
2021-02-16,330498,478142
2021-02-17,330988,479003
2021-02-18,331359,479787
2021-02-19,331674,480382
2021-02-20,331961,480872
2021-02-21,332059,481012
2021-02-22,332185,481278
2021-02-23,332402,481691
2021-02-24,332675,482265
2021-02-25,333025,482916
2021-02-26,333340,483490
2021-02-27,333536,483875
2021-02-28,333613,483987
2021-03-01,333697,484176
2021-03-02,333809,484435
2021-03-03,333949,484687
2021-03-04,334152,485086
2021-03-05,334390,485569
2021-03-06,334572,485863
2021-03-07,334621,485940
2021-03-08,334691,486122
2021-03-09,334782,486318
2021-03-10,334880,486528
2021-03-11,335006,486731
2021-03-12,335125,486983
2021-03-13,335265,487207
2021-03-14,335307,487284
2021-03-15,335377,487389
2021-03-16,335447,487529
2021-03-17,335510,487648
total,357686,508473
