,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,7,0
2020-12-09,21,0
2020-12-10,42,7
2020-12-11,56,14
2020-12-12,63,14
2020-12-13,77,14
2020-12-14,105,21
2020-12-15,182,56
2020-12-16,294,91
2020-12-17,602,238
2020-12-18,896,357
2020-12-19,1232,504
2020-12-20,1463,623
2020-12-21,1750,763
2020-12-22,2009,882
2020-12-23,2240,1008
2020-12-24,2366,1071
2020-12-25,2366,1071
2020-12-26,2366,1071
2020-12-27,2366,1071
2020-12-28,2394,1085
2020-12-29,2541,1162
2020-12-30,3437,1694
2020-12-31,4494,2170
2021-01-01,4767,2324
2021-01-02,5222,2492
2021-01-03,5271,2520
2021-01-04,5320,2541
2021-01-05,5474,2604
2021-01-06,6867,3185
2021-01-07,12586,5852
2021-01-08,19775,9184
2021-01-09,24955,11571
2021-01-10,27545,12747
2021-01-11,29421,13531
2021-01-12,33327,15281
2021-01-13,42861,19565
2021-01-14,53102,24136
2021-01-15,65373,29666
2021-01-16,75348,33992
2021-01-17,79303,35693
2021-01-18,83293,37443
2021-01-19,102683,45836
2021-01-20,126756,56546
2021-01-21,153426,68754
2021-01-22,193970,86590
2021-01-23,243593,108584
2021-01-24,260904,115836
2021-01-25,274330,121919
2021-01-26,293195,130319
2021-01-27,311493,138201
2021-01-28,342601,151683
2021-01-29,392532,172900
2021-01-30,438788,192143
2021-01-31,462084,201915
2021-02-01,479416,209342
2021-02-02,493843,215467
2021-02-03,506688,221004
2021-02-04,518147,225967
2021-02-05,527373,229936
2021-02-06,536116,233597
2021-02-07,539882,235109
2021-02-08,543571,236768
2021-02-09,547855,238707
2021-02-10,551215,240345
2021-02-11,554638,242004
2021-02-12,557711,243390
2021-02-13,560245,244482
2021-02-14,561120,244818
2021-02-15,561960,245217
2021-02-16,562884,245609
2021-02-17,563829,246022
2021-02-18,564606,246393
2021-02-19,565236,246680
2021-02-20,565775,246918
2021-02-21,565936,246988
2021-02-22,566188,247128
2021-02-23,566601,247352
2021-02-24,567161,247639
2021-02-25,567812,247982
2021-02-26,568407,248283
2021-02-27,568785,248486
2021-02-28,568918,248549
2021-03-01,569093,248647
2021-03-02,569317,248780
2021-03-03,569597,248892
2021-03-04,569989,249095
2021-03-05,570451,249333
2021-03-06,570780,249487
2021-03-07,570857,249529
2021-03-08,571004,249627
2021-03-09,571172,249739
2021-03-10,571340,249816
total,606067,260484
