,0,1,2,3,4,5
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0
2020-12-12,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0
2020-12-23,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0
2021-01-01,0,7,0,14,7,7
2021-01-02,0,14,7,14,7,7
2021-01-03,0,14,7,14,14,7
2021-01-04,0,14,7,28,21,21
2021-01-05,0,21,14,28,28,21
2021-01-06,0,28,28,42,35,28
2021-01-07,0,49,56,70,56,56
2021-01-08,14,147,147,126,112,105
2021-01-09,21,224,287,266,231,182
2021-01-10,28,266,322,315,280,217
2021-01-11,42,413,455,434,378,301
2021-01-12,56,637,644,602,511,406
2021-01-13,91,868,840,763,693,525
2021-01-14,119,1176,1120,1015,889,707
2021-01-15,147,1603,1491,1407,1239,917
2021-01-16,189,2009,1862,1855,1736,1638
2021-01-17,196,2093,1953,1946,1834,1715
2021-01-18,217,2436,2268,2247,2079,1911
2021-01-19,371,2933,2709,2681,2457,2170
2021-01-20,455,3955,3465,3402,3248,2884
2021-01-21,721,6048,5320,5271,5138,4095
2021-01-22,1057,8946,8729,8771,8862,6699
2021-01-23,1491,12621,11949,12649,12887,10710
2021-01-24,1687,13706,13167,14392,14434,12341
2021-01-25,1932,15512,15652,16996,17255,14812
2021-01-26,2289,18844,19523,21091,21007,17899
2021-01-27,2744,22470,23415,25095,25214,21364
2021-01-28,3248,27426,28742,30296,30527,26439
2021-01-29,3787,31409,33306,35714,35868,32501
2021-01-30,4753,37576,39879,44898,46088,43701
2021-01-31,5054,39991,42525,48741,49833,48188
2021-02-01,5530,43918,47152,54929,55951,54271
2021-02-02,6160,49035,53816,63616,64554,62818
2021-02-03,6986,54145,59409,70546,72485,71498
2021-02-04,8092,63203,68880,82054,84616,82950
2021-02-05,9422,75761,83300,100289,103215,100429
2021-02-06,12152,93716,106862,132363,134463,132664
2021-02-07,13461,102445,118363,148407,149506,148701
2021-02-08,14441,111412,129311,160405,162162,160916
2021-02-09,15596,119539,140035,173481,175119,172907
2021-02-10,16422,127554,148694,183526,184436,180761
2021-02-11,17101,135394,156051,191240,191422,186340
2021-02-12,17920,142296,163443,198786,198814,192521
2021-02-13,18718,149583,171409,208131,206752,199605
2021-02-14,18984,151984,173824,210868,209181,201740
2021-02-15,19222,154749,176183,213115,211078,203371
2021-02-16,19390,156625,177870,215005,212464,204603
2021-02-17,19558,158767,179564,216377,213500,205387
2021-02-18,19733,161028,181412,217875,214613,206080
2021-02-19,19915,163023,183106,219170,215614,206745
2021-02-20,20146,165494,184926,220899,216769,207837
2021-02-21,20230,166887,185927,221662,217217,208187
2021-02-22,20370,168721,187306,222747,217931,208663
2021-02-23,20510,170954,188832,223895,218785,209209
2021-02-24,20657,173131,190463,225232,219772,209832
2021-02-25,20930,176757,193214,227311,221151,210693
2021-02-26,21182,179690,195377,229019,222362,211582
2021-02-27,21420,182602,197246,230531,223510,212527
2021-02-28,21581,184128,198275,231413,224042,212975
2021-03-01,21700,185619,199549,232393,224623,213360
2021-03-02,21833,187299,200802,233324,225232,213780
2021-03-03,22001,190022,202678,234521,226044,214333
2021-03-04,22246,193487,205079,236334,227269,215215
2021-03-05,22477,196931,207298,238112,228536,216027
2021-03-06,22736,200361,209461,239792,229803,217000
2021-03-07,22827,201397,210098,240212,230069,217189
2021-03-08,22911,202587,210903,240737,230482,217413
2021-03-09,23030,203910,211883,241360,230797,217651
2021-03-10,23100,205163,212751,241948,231154,217896
2021-03-11,23170,206136,213458,242389,231462,218106
2021-03-12,23268,207872,214473,243103,231952,218435
2021-03-13,23415,209986,215740,243985,232547,218820
2021-03-14,23471,210714,216370,244356,232806,218974
2021-03-15,23541,211855,217210,244867,233142,219198
2021-03-16,23597,212926,217847,245259,233464,219373
2021-03-17,23653,213969,218456,245644,233716,219555
total,42623,406007,391923,421386,395780,364952
