,False,True
2020-12-29,70,0
2020-12-30,189,0
2020-12-31,308,0
2021-01-01,322,0
2021-01-02,539,0
2021-01-03,693,0
2021-01-04,945,0
2021-01-05,1274,0
2021-01-06,1687,0
2021-01-07,2128,0
2021-01-08,2555,0
2021-01-09,2870,0
2021-01-10,3297,7
2021-01-11,3479,7
2021-01-12,3605,7
2021-01-13,3661,7
2021-01-14,3710,7
2021-01-15,3745,7
2021-01-16,3766,7
2021-01-17,3787,7
2021-01-18,3801,7
2021-01-19,3815,7
2021-01-20,3843,7
2021-01-21,3878,7
2021-01-22,3885,7
2021-01-23,3899,7
2021-01-24,3906,7
2021-01-25,3913,7
2021-01-26,3927,7
2021-01-27,3934,7
2021-01-28,3962,7
2021-01-29,4039,7
2021-01-30,4109,7
2021-01-31,4186,7
2021-02-01,4242,7
2021-02-02,4298,7
2021-02-03,4389,7
2021-02-04,4480,7
2021-02-05,4557,7
2021-02-06,4585,7
2021-02-07,4627,7
2021-02-08,4655,7
2021-02-09,4732,7
2021-02-10,4851,7
2021-02-11,5019,7
2021-02-12,5187,7
2021-02-13,5292,7
2021-02-14,5341,7
2021-02-15,5418,7
2021-02-16,5649,7
2021-02-17,5915,7
2021-02-18,6139,7
2021-02-19,6363,7
2021-02-20,6482,7
2021-02-21,6559,7
2021-02-22,6741,7
2021-02-23,7028,7
2021-02-24,7483,7
2021-02-25,8043,7
2021-02-26,8778,14
2021-02-27,9457,14
2021-02-28,9772,14
2021-03-01,10080,14
2021-03-02,10745,14
2021-03-03,11732,14
2021-03-04,12460,21
2021-03-05,13790,21
2021-03-06,14567,21
2021-03-07,14812,21
2021-03-08,15414,21
2021-03-09,16317,21
2021-03-10,17591,28
2021-03-11,19089,35
2021-03-12,20930,35
2021-03-13,22064,42
2021-03-14,22652,42
2021-03-15,23842,42
2021-03-16,26019,49
2021-03-17,28000,56
total,2011142,11543
