,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,14,0
2021-01-02,21,0
2021-01-03,21,0
2021-01-04,28,0
2021-01-05,42,0
2021-01-06,63,0
2021-01-07,91,0
2021-01-08,245,7
2021-01-09,427,14
2021-01-10,525,21
2021-01-11,721,28
2021-01-12,1015,35
2021-01-13,1372,56
2021-01-14,1792,70
2021-01-15,2359,91
2021-01-16,2779,105
2021-01-17,2933,105
2021-01-18,3290,126
2021-01-19,3703,140
2021-01-20,4298,175
2021-01-21,5292,217
2021-01-22,6769,301
2021-01-23,7917,364
2021-01-24,8533,399
2021-01-25,9471,441
2021-01-26,10843,518
2021-01-27,12565,602
2021-01-28,14063,686
2021-01-29,15841,784
2021-01-30,17626,889
2021-01-31,18445,924
2021-02-01,19866,994
2021-02-02,21658,1085
2021-02-03,24192,1218
2021-02-04,30037,1505
2021-02-05,38311,1967
2021-02-06,51618,2618
2021-02-07,59577,2989
2021-02-08,69244,3416
2021-02-09,81550,4039
2021-02-10,105203,5089
2021-02-11,135023,6335
2021-02-12,173075,8029
2021-02-13,232855,10640
2021-02-14,260757,11697
2021-02-15,294483,12922
2021-02-16,326466,14084
2021-02-17,355922,15113
2021-02-18,385154,16079
2021-02-19,410578,16982
2021-02-20,435484,17906
2021-02-21,446173,18242
2021-02-22,461195,18760
2021-02-23,474047,19208
2021-02-24,488264,19719
2021-02-25,502922,20244
2021-02-26,516663,20734
2021-02-27,527065,21105
2021-02-28,533554,21336
2021-03-01,538475,21518
2021-03-02,543585,21714
2021-03-03,549535,21973
2021-03-04,558306,22358
2021-03-05,567490,22715
2021-03-06,575673,23086
2021-03-07,577647,23156
2021-03-08,580888,23282
2021-03-09,583884,23401
2021-03-10,586621,23534
2021-03-11,589148,23653
2021-03-12,593208,23821
2021-03-13,598164,24052
2021-03-14,600775,24150
2021-03-15,604121,24276
2021-03-16,606872,24402
2021-03-17,608937,24500
total,1031926,41146
