,False,True
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,7,0
2021-01-01,49,0
2021-01-02,77,0
2021-01-03,77,0
2021-01-04,105,0
2021-01-05,161,7
2021-01-06,231,7
2021-01-07,378,21
2021-01-08,882,42
2021-01-09,1456,77
2021-01-10,1757,98
2021-01-11,2513,140
2021-01-12,3493,189
2021-01-13,4466,238
2021-01-14,5712,301
2021-01-15,7371,385
2021-01-16,8484,469
2021-01-17,8953,497
2021-01-18,9954,560
2021-01-19,10990,616
2021-01-20,12453,693
2021-01-21,14602,812
2021-01-22,17570,980
2021-01-23,19565,1106
2021-01-24,20538,1176
2021-01-25,22029,1274
2021-01-26,24003,1393
2021-01-27,25676,1498
2021-01-28,27531,1603
2021-01-29,29764,1743
2021-01-30,31549,1869
2021-01-31,32543,1918
2021-02-01,33747,1995
2021-02-02,35161,2086
2021-02-03,36673,2177
2021-02-04,38787,2289
2021-02-05,41776,2485
2021-02-06,45437,2716
2021-02-07,47327,2821
2021-02-08,49294,2933
2021-02-09,51800,3101
2021-02-10,55090,3318
2021-02-11,58926,3521
2021-02-12,66479,4025
2021-02-13,76552,4795
2021-02-14,82068,5166
2021-02-15,88830,5656
2021-02-16,97244,6314
2021-02-17,109137,7182
2021-02-18,126294,8400
2021-02-19,141386,9387
2021-02-20,165543,10990
2021-02-21,174223,11571
2021-02-22,185752,12341
2021-02-23,199157,13195
2021-02-24,213199,14063
2021-02-25,231707,15141
2021-02-26,250453,16380
2021-02-27,268590,17584
2021-02-28,277361,18109
2021-03-01,287588,18711
2021-03-02,300300,19376
2021-03-03,324219,20699
2021-03-04,359450,22561
2021-03-05,399595,24563
2021-03-06,442918,26880
2021-03-07,453376,27461
2021-03-08,465696,28098
2021-03-09,479346,28735
2021-03-10,495166,29505
2021-03-11,508319,30114
2021-03-12,533358,31248
2021-03-13,569919,32732
2021-03-14,585991,33425
2021-03-15,606823,34307
2021-03-16,629713,35168
2021-03-17,649033,35924
total,1655087,84679
