,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,196,21
2020-12-09,616,42
2020-12-10,1029,77
2020-12-11,1428,119
2020-12-12,1827,147
2020-12-13,2114,161
2020-12-14,2485,196
2020-12-15,3073,266
2020-12-16,3892,315
2020-12-17,4865,385
2020-12-18,5789,469
2020-12-19,6538,518
2020-12-20,7532,602
2020-12-21,8799,714
2020-12-22,10017,812
2020-12-23,11501,938
2020-12-24,12194,980
2020-12-25,12201,980
2020-12-26,12229,980
2020-12-27,12439,994
2020-12-28,12747,1022
2020-12-29,13720,1092
2020-12-30,15897,1260
2020-12-31,18095,1435
2021-01-01,18627,1477
2021-01-02,19264,1526
2021-01-03,19810,1575
2021-01-04,20741,1652
2021-01-05,22498,1785
2021-01-06,24871,1981
2021-01-07,28658,2226
2021-01-08,32501,2478
2021-01-09,35595,2688
2021-01-10,37520,2821
2021-01-11,39977,3003
2021-01-12,43064,3192
2021-01-13,46627,3458
2021-01-14,50232,3724
2021-01-15,54215,4011
2021-01-16,58093,4284
2021-01-17,60879,4473
2021-01-18,63637,4641
2021-01-19,67088,4844
2021-01-20,70651,5096
2021-01-21,73752,5299
2021-01-22,77161,5509
2021-01-23,80332,5740
2021-01-24,82383,5887
2021-01-25,84511,6055
2021-01-26,86863,6223
2021-01-27,89285,6363
2021-01-28,91833,6552
2021-01-29,94549,6818
2021-01-30,96845,7014
2021-01-31,98693,7175
2021-02-01,100240,7315
2021-02-02,102137,7469
2021-02-03,104349,7672
2021-02-04,106848,7903
2021-02-05,108395,8022
2021-02-06,109501,8127
2021-02-07,110180,8197
2021-02-08,110978,8260
2021-02-09,112511,8414
2021-02-10,115059,8631
2021-02-11,119994,8988
2021-02-12,125195,9401
2021-02-13,128730,9709
2021-02-14,130641,9856
2021-02-15,132216,9961
2021-02-16,151662,11165
2021-02-17,192332,13790
2021-02-18,225554,15792
2021-02-19,249186,17227
2021-02-20,264810,18144
2021-02-21,268569,18361
2021-02-22,271831,18536
2021-02-23,299978,20251
2021-02-24,342643,22771
2021-02-25,383579,25186
2021-02-26,425978,27699
2021-02-27,454573,29547
2021-02-28,460551,29855
2021-03-01,461531,29918
2021-03-02,462490,30016
2021-03-03,464779,30135
2021-03-04,466557,30233
2021-03-05,467201,30275
2021-03-06,467964,30317
2021-03-07,468076,30324
2021-03-08,468139,30331
2021-03-09,468433,30345
2021-03-10,469007,30366
total,1642291,93786
