,False,True
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,7,0
2021-01-01,28,0
2021-01-02,42,0
2021-01-03,42,0
2021-01-04,56,0
2021-01-05,84,0
2021-01-06,112,0
2021-01-07,168,0
2021-01-08,469,14
2021-01-09,812,21
2021-01-10,931,28
2021-01-11,1302,35
2021-01-12,1841,56
2021-01-13,2408,70
2021-01-14,3108,98
2021-01-15,3983,126
2021-01-16,4564,133
2021-01-17,4837,147
2021-01-18,5404,168
2021-01-19,5999,189
2021-01-20,6692,203
2021-01-21,7805,231
2021-01-22,9541,280
2021-01-23,10633,315
2021-01-24,11221,329
2021-01-25,11963,364
2021-01-26,12915,392
2021-01-27,13769,413
2021-01-28,14616,441
2021-01-29,15624,476
2021-01-30,16611,497
2021-01-31,17157,518
2021-02-01,17815,546
2021-02-02,18543,560
2021-02-03,19271,588
2021-02-04,20272,609
2021-02-05,21693,658
2021-02-06,23324,707
2021-02-07,24269,749
2021-02-08,25074,777
2021-02-09,26019,805
2021-02-10,27454,868
2021-02-11,29141,924
2021-02-12,31948,1106
2021-02-13,35350,1365
2021-02-14,37205,1470
2021-02-15,39382,1603
2021-02-16,41986,1757
2021-02-17,45080,1988
2021-02-18,48377,2338
2021-02-19,51926,2632
2021-02-20,57148,3087
2021-02-21,59766,3213
2021-02-22,63217,3409
2021-02-23,67165,3668
2021-02-24,74942,3906
2021-02-25,88256,4277
2021-02-26,105623,4683
2021-02-27,121667,5061
2021-02-28,135793,5327
2021-03-01,151795,5586
2021-03-02,172277,5915
2021-03-03,198471,6335
2021-03-04,234780,6972
2021-03-05,270445,7581
2021-03-06,307958,8197
2021-03-07,327075,8442
2021-03-08,350455,8764
2021-03-09,370300,9058
2021-03-10,388948,9303
total,893655,23051
