,F,M
2020-12-29,28,14
2020-12-30,91,28
2020-12-31,126,42
2021-01-01,133,42
2021-01-02,182,63
2021-01-03,266,91
2021-01-04,413,140
2021-01-05,602,196
2021-01-06,854,280
2021-01-07,1183,378
2021-01-08,1449,462
2021-01-09,1624,518
2021-01-10,1876,609
2021-01-11,2002,644
2021-01-12,2065,672
2021-01-13,2086,686
2021-01-14,2107,700
2021-01-15,2128,700
2021-01-16,2142,707
2021-01-17,2142,714
2021-01-18,2149,714
2021-01-19,2156,728
2021-01-20,2170,728
2021-01-21,2177,735
2021-01-22,2184,735
2021-01-23,2184,742
2021-01-24,2198,742
2021-01-25,2205,742
2021-01-26,2205,742
2021-01-27,2212,742
2021-01-28,2226,749
2021-01-29,2268,756
2021-01-30,2310,777
2021-01-31,2352,798
2021-02-01,2380,805
2021-02-02,2401,812
2021-02-03,2450,833
2021-02-04,2513,854
2021-02-05,2562,868
2021-02-06,2569,868
2021-02-07,2576,875
2021-02-08,2583,882
2021-02-09,2639,903
2021-02-10,2716,938
2021-02-11,2800,973
2021-02-12,2877,1001
2021-02-13,2947,1022
2021-02-14,2975,1029
2021-02-15,3031,1036
2021-02-16,3101,1057
2021-02-17,3213,1092
2021-02-18,3325,1120
2021-02-19,3416,1169
2021-02-20,3479,1183
2021-02-21,3521,1204
2021-02-22,3619,1232
2021-02-23,3794,1281
2021-02-24,4046,1393
2021-02-25,4340,1498
2021-02-26,4592,1589
2021-02-27,4844,1680
2021-02-28,4991,1757
2021-03-01,5159,1813
2021-03-02,5439,1890
2021-03-03,5859,2002
2021-03-04,6279,2121
2021-03-05,6587,2233
2021-03-06,6811,2282
2021-03-07,6937,2324
2021-03-08,7231,2429
2021-03-09,7742,2597
2021-03-10,8470,2793
2021-03-11,9170,3017
2021-03-12,9877,3220
2021-03-13,10248,3346
2021-03-14,10507,3409
2021-03-15,11011,3577
2021-03-16,11886,3829
2021-03-17,12922,4179
total,476077,440398
