,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,105,0
2020-12-09,357,7
2020-12-10,588,21
2020-12-11,812,21
2020-12-12,994,28
2020-12-13,1176,35
2020-12-14,1393,35
2020-12-15,1736,49
2020-12-16,2170,63
2020-12-17,2786,77
2020-12-18,3318,84
2020-12-19,3829,98
2020-12-20,4480,112
2020-12-21,5299,133
2020-12-22,5978,154
2020-12-23,6916,175
2020-12-24,7392,189
2020-12-25,7392,189
2020-12-26,7399,189
2020-12-27,7532,196
2020-12-28,7770,196
2020-12-29,8337,210
2020-12-30,9744,252
2020-12-31,11025,301
2021-01-01,11340,308
2021-01-02,11697,322
2021-01-03,12012,329
2021-01-04,12572,343
2021-01-05,13678,371
2021-01-06,15330,427
2021-01-07,17780,490
2021-01-08,20027,546
2021-01-09,21924,609
2021-01-10,23030,637
2021-01-11,24444,686
2021-01-12,26159,728
2021-01-13,28196,777
2021-01-14,30492,826
2021-01-15,32914,910
2021-01-16,35189,987
2021-01-17,36883,1036
2021-01-18,38535,1078
2021-01-19,40628,1148
2021-01-20,42777,1211
2021-01-21,44688,1274
2021-01-22,46480,1330
2021-01-23,48251,1393
2021-01-24,49532,1428
2021-01-25,50673,1477
2021-01-26,51975,1519
2021-01-27,53277,1540
2021-01-28,54670,1589
2021-01-29,56378,1631
2021-01-30,57540,1673
2021-01-31,58618,1715
2021-02-01,59465,1743
2021-02-02,60564,1771
2021-02-03,61866,1813
2021-02-04,63042,1862
2021-02-05,63896,1897
2021-02-06,64386,1904
2021-02-07,64834,1911
2021-02-08,65240,1925
2021-02-09,66031,1953
2021-02-10,67305,2002
2021-02-11,69468,2072
2021-02-12,71456,2212
2021-02-13,73185,2268
2021-02-14,73941,2303
2021-02-15,74473,2338
2021-02-16,78715,2800
2021-02-17,85813,3633
2021-02-18,91399,4319
2021-02-19,95886,4774
2021-02-20,98833,5075
2021-02-21,100170,5145
2021-02-22,100800,5208
2021-02-23,105007,5656
2021-02-24,113561,6377
2021-02-25,121457,7042
2021-02-26,129962,7784
2021-02-27,135828,8204
2021-02-28,137291,8281
2021-03-01,137613,8295
2021-03-02,137949,8309
2021-03-03,138460,8330
2021-03-04,138845,8358
2021-03-05,139475,8365
2021-03-06,140273,8365
2021-03-07,140742,8372
2021-03-08,140798,8372
2021-03-09,141624,8372
2021-03-10,142233,8372
2021-03-11,142520,8379
2021-03-12,142814,8379
2021-03-13,143171,8386
2021-03-14,143192,8386
2021-03-15,143241,8386
2021-03-16,143304,8393
2021-03-17,143395,8393
total,893431,23044
