,0,1,2,3,4,5
2020-12-29,0,7,7,14,21,14
2020-12-30,0,28,28,42,56,42
2020-12-31,0,35,35,56,70,63
2021-01-01,0,35,35,56,77,70
2021-01-02,7,49,63,84,91,112
2021-01-03,7,70,84,119,133,147
2021-01-04,14,98,119,175,203,210
2021-01-05,21,140,175,259,301,301
2021-01-06,35,210,259,357,406,427
2021-01-07,42,280,336,483,525,567
2021-01-08,49,343,427,602,637,728
2021-01-09,56,385,483,679,721,840
2021-01-10,77,441,560,763,854,980
2021-01-11,91,483,588,798,910,1036
2021-01-12,91,497,623,833,938,1071
2021-01-13,98,504,630,847,952,1085
2021-01-14,98,504,637,854,973,1099
2021-01-15,98,504,637,868,987,1120
2021-01-16,98,511,644,868,1001,1127
2021-01-17,98,511,644,875,1008,1148
2021-01-18,98,511,644,875,1008,1148
2021-01-19,98,511,651,875,1015,1155
2021-01-20,98,511,651,882,1022,1162
2021-01-21,98,518,658,882,1036,1176
2021-01-22,98,518,658,889,1043,1190
2021-01-23,98,518,658,889,1050,1197
2021-01-24,98,518,658,896,1057,1204
2021-01-25,98,518,658,896,1057,1204
2021-01-26,98,518,665,896,1057,1204
2021-01-27,98,518,665,896,1057,1211
2021-01-28,105,518,665,903,1064,1211
2021-01-29,105,525,679,931,1085,1239
2021-01-30,105,525,686,945,1113,1267
2021-01-31,105,532,693,959,1141,1302
2021-02-01,105,539,707,959,1155,1309
2021-02-02,105,539,714,966,1169,1330
2021-02-03,112,546,728,994,1204,1358
2021-02-04,112,560,749,1008,1246,1393
2021-02-05,112,567,763,1029,1260,1421
2021-02-06,112,567,763,1036,1267,1428
2021-02-07,112,567,763,1043,1274,1428
2021-02-08,112,574,770,1050,1274,1442
2021-02-09,119,581,784,1078,1309,1477
2021-02-10,119,609,812,1106,1351,1540
2021-02-11,133,623,833,1141,1379,1603
2021-02-12,133,637,861,1183,1421,1652
2021-02-13,140,644,875,1204,1456,1680
2021-02-14,140,658,875,1211,1463,1694
2021-02-15,147,665,889,1239,1491,1722
2021-02-16,154,693,910,1274,1526,1757
2021-02-17,154,714,931,1323,1582,1820
2021-02-18,161,742,959,1365,1624,1855
2021-02-19,161,784,994,1414,1659,1897
2021-02-20,161,791,1008,1435,1701,1946
2021-02-21,168,805,1029,1456,1722,1974
2021-02-22,168,826,1064,1505,1778,2009
2021-02-23,175,854,1113,1575,1848,2086
2021-02-24,182,938,1190,1687,1967,2191
2021-02-25,196,1008,1274,1806,2079,2331
2021-02-26,203,1057,1351,1904,2219,2457
2021-02-27,210,1113,1435,1995,2317,2562
2021-02-28,217,1155,1498,2058,2394,2646
2021-03-01,224,1211,1568,2135,2457,2723
2021-03-02,231,1302,1652,2268,2583,2849
2021-03-03,245,1393,1771,2401,2744,3010
2021-03-04,259,1477,1883,2569,2933,3171
2021-03-05,273,1547,1974,2695,3080,3339
2021-03-06,280,1575,2030,2765,3164,3444
2021-03-07,287,1617,2079,2814,3227,3493
2021-03-08,301,1687,2184,2954,3381,3647
2021-03-09,315,1792,2359,3164,3619,3850
2021-03-10,343,1967,2576,3458,3878,4179
2021-03-11,357,2128,2758,3752,4235,4508
2021-03-12,385,2317,2968,4011,4550,4795
2021-03-13,399,2387,3066,4172,4725,4977
2021-03-14,399,2443,3143,4284,4837,5089
2021-03-15,420,2576,3297,4473,5082,5313
2021-03-16,455,2786,3577,4816,5446,5670
2021-03-17,504,3031,3976,5250,5887,6090
total,23205,177912,209902,253428,260526,253974
